#         t          x          y          z         vx         vy         vz
      0.000   -476.220    491.440   -412.410     45.330    101.980    142.020
      5.000   -472.950    498.950   -402.040     48.240    106.430    147.110
     10.000   -469.310    506.760   -391.420     58.540    111.420    150.780
     15.000   -465.050    515.030   -380.300     63.150    116.570    159.980
     20.000   -460.200    523.510   -368.470     71.810    123.800    170.880
     25.000   -454.660    532.670   -355.780     81.390    129.040    183.430
     30.000   -448.100    541.960   -342.360     96.310    133.640    191.170
     35.000   -440.900    551.430   -328.530    108.410    135.030    202.870
     40.000   -432.470    561.120   -313.980    130.050    136.890    210.530
     45.000   -422.370    570.870   -298.350    153.810    133.870    222.670
     50.000   -410.450    580.340   -281.700    177.900    126.650    235.180
     55.000   -396.700    588.860   -264.640    205.430    113.670    242.970
     60.000   -380.910    596.260   -247.170    236.440     93.190    247.580
     65.000   -362.700    601.800   -229.410    263.460     59.800    245.410
     70.000   -343.300    605.110   -212.110    280.170     32.020    237.290
     75.000   -323.070    606.340   -195.610    287.860      1.990    220.240
     80.000   -302.650    605.520   -180.450    286.570    -25.170    203.890
     85.000   -282.300    602.790   -166.470    281.440    -53.330    186.600
     90.000   -262.540    598.360   -153.560    271.240    -68.650    175.540
     95.000   -243.400    592.970   -141.350    262.720    -81.430    164.150
    100.000   -224.840    586.560   -130.160    256.690    -96.410    150.280
    105.000   -206.970    579.300   -119.820    244.560   -107.600    139.310
    110.000   -189.860    571.290   -110.350    237.020   -115.520    129.870
    115.000   -173.300    562.820   -101.420    227.440   -122.790    119.670
    120.000   -157.330    553.800    -93.080    217.690   -131.030    112.430
    125.000   -142.170    544.240    -85.400    207.540   -135.560    104.800
    130.000   -127.680    534.380    -78.190    199.090   -141.780     98.460
    135.000   -113.680    524.060    -71.440    190.690   -147.650     90.260
    140.000   -100.290    513.290    -65.170    182.510   -155.010     84.070
    145.000    -87.640    502.080    -59.300    171.140   -157.580     79.950
    150.000    -75.690    490.790    -53.860    168.150   -157.200     73.460
    155.000    -63.990    479.380    -48.940    156.660   -161.270     68.140
    160.000    -52.980    467.620    -44.130    149.970   -165.400     63.310
    165.000    -42.380    455.610    -39.880    144.110   -170.010     58.470
    170.000    -32.360    443.390    -35.730    134.610   -170.640     56.200
    175.000    -23.060    431.080    -31.830    124.320   -176.330     51.560
    180.000    -14.370    418.420    -28.180    116.460   -179.030     47.270
    185.000     -6.250    405.460    -24.910    111.430   -185.650     44.290
    190.000      1.360    392.090    -22.010    102.790   -186.960     38.350
    195.000      8.540    378.660    -19.490     97.640   -189.990     33.240
    200.000     15.210    364.890    -17.080     88.890   -195.970     29.900
    205.000     21.000    350.720    -15.070     76.870   -200.400     24.600
    210.000     26.230    336.340    -13.360     68.860   -203.270     21.760
    215.000     30.760    321.640    -11.780     58.220   -207.920     18.730
    220.000     34.520    306.550    -10.590     47.630   -213.860     15.540
    225.000     37.490    291.150     -9.830     36.780   -218.240      8.780
    230.000     39.500    275.330     -9.480     20.880   -223.210      3.250
    235.000     40.360    259.280     -9.350      4.840   -228.190     -0.960
    240.000     40.200    242.820     -9.530    -13.280   -231.920     -7.110
    245.000     38.430    226.070    -10.270    -32.210   -238.680    -14.070
    250.000     35.500    208.780    -11.490    -54.350   -244.940    -20.520
    255.000     30.870    191.180    -13.290    -79.970   -246.200    -32.180
    260.000     24.000    173.660    -16.030   -113.680   -243.070    -44.040
    265.000     14.480    156.600    -19.650   -152.040   -232.360    -56.770
    270.000      2.470    140.760    -24.240   -188.060   -210.420    -71.710
    275.000    -12.020    126.700    -29.650   -219.980   -178.970    -81.140
    280.000    -28.670    115.670    -35.700   -246.170   -128.950    -86.150
    285.000    -47.000    108.420    -41.570   -260.070    -70.270    -78.510
    290.000    -65.320    105.740    -46.970   -250.820     -1.980    -66.690
    295.000    -82.230    108.140    -51.000   -219.330     69.450    -47.060
    300.000    -96.030    115.230    -53.700   -166.160    123.710    -29.060
    305.000   -105.590    125.360    -55.000   -104.650    154.610    -10.290
    310.000   -111.040    137.010    -55.050    -46.870    169.030      6.860
    315.000   -112.600    149.110    -54.130      1.300    169.700     16.360
    320.000   -111.120    161.090    -52.680     39.510    165.450     25.650
    325.000   -107.060    172.670    -50.710     71.770    160.410     30.740
    330.000   -100.870    183.850    -48.230    100.630    153.760     39.510
    335.000    -92.710    194.450    -45.020    125.210    145.920     49.600
    340.000    -82.770    204.720    -41.130    148.560    137.680     59.530
    345.000    -71.600    214.310    -36.330    167.310    129.800     71.980
    350.000    -59.120    223.310    -30.800    183.190    123.040     85.690
    355.000    -45.360    232.100    -23.940    206.210    120.580    106.480
    360.000    -29.790    240.450    -15.100    230.550    113.370    144.480
    365.000    -12.430    247.780     -2.560    255.410     86.430    213.280
    370.000      5.480    250.930     15.440    232.280     -6.200    277.150
    375.000     20.120    247.490     34.800    179.680    -81.360    260.140
    380.000     31.450    240.380     52.010    142.110   -112.770    221.160
    385.000     40.720    231.680     66.450    117.770   -131.770    184.220
    390.000     48.170    221.840     78.350     94.280   -142.620    156.860
    395.000     54.260    211.400     88.310     77.540   -149.660    128.600
    400.000     59.280    200.350     96.690     62.870   -158.000    104.560
    405.000     63.290    188.910    103.440     50.520   -162.110     81.850
    410.000     66.430    177.140    108.440     33.820   -167.460     58.110
    415.000     68.700    165.200    111.960     20.190   -167.590     36.580
    420.000     69.910    153.200    113.750      6.920   -168.650     11.760
    425.000     69.680    141.260    113.500     -3.990   -166.220    -11.150
    430.000     68.900    129.600    111.830    -18.610   -160.970    -36.440
    435.000     67.140    118.320    108.210    -31.990   -155.320    -65.920
    440.000     64.380    107.730    102.340    -47.000   -142.260    -98.360
    445.000     60.370     98.090     94.110    -63.950   -125.640   -129.630
    450.000     55.290     89.920     83.650    -76.690   -102.650   -162.530
    455.000     49.380     83.650     70.880    -89.350    -71.800   -197.690
    460.000     42.400     80.130     55.730   -102.210    -25.930   -228.470
    465.000     34.930     80.310     38.350   -107.510     34.590   -254.370
    470.000     27.160     85.640     20.000    -99.800    115.470   -253.700
    475.000     20.800     96.530      2.820    -75.980    186.310   -217.880
    480.000     16.600    111.410    -10.350    -39.600    224.780   -151.780
    485.000     15.000    127.730    -19.150     -8.120    231.370    -89.830
    490.000     15.510    143.850    -23.440     19.790    216.550    -37.550
    495.000     17.580    158.500    -24.610     39.350    195.230      4.150
    500.000     21.040    171.630    -23.290     55.180    172.520     36.180
    505.000     25.360    182.920    -19.810     66.210    145.860     62.150
    510.000     30.440    192.390    -14.370     77.240    119.970     85.980
    515.000     36.310    199.920     -7.570     85.840     91.230    104.280
    520.000     42.790    205.430      0.440     93.250     64.460    121.330
    525.000     49.630    208.980      9.610     99.230     32.720    134.490
    530.000     56.840    210.230     19.540    103.340      2.690    144.630
    535.000     64.210    209.300     30.190    103.230    -29.880    153.580
    540.000     71.550    206.010     41.520    102.660    -64.650    161.590
    545.000     78.930    200.180     53.200    104.930   -101.470    162.890
    550.000     86.310    191.590     64.780    102.300   -140.140    161.730
    555.000     93.590    179.890     76.160     96.010   -186.160    156.800
    560.000    100.260    165.030     86.960     89.770   -231.280    142.980
    565.000    106.060    146.550     96.330     72.860   -283.660    115.400
    570.000    110.330    124.710    103.050     45.610   -328.100     67.990
    575.000    112.360    100.320    105.400     10.080   -353.010     -5.300
    580.000    111.460     75.550    101.970    -36.090   -327.950    -88.920
    585.000    107.520     54.270     93.220    -72.350   -263.540   -149.310
    590.000    101.790     38.170     81.370    -84.440   -187.380   -178.410
    595.000     95.660     27.480     68.350    -86.700   -115.440   -181.270
    600.000     89.530     21.590     55.620    -80.690    -51.920   -172.460
    605.000     84.120     19.660     43.930    -74.500     -4.730   -153.280
    610.000     79.270     20.870     33.940    -57.380     37.470   -126.280
    615.000     75.720     24.800     26.080    -40.820     70.340    -96.870
    620.000     73.560     30.740     20.200    -23.130     95.220    -65.140
    625.000     72.750     38.320     16.800     -1.150    116.070    -29.990
    630.000     73.180     47.170     15.730     16.790    131.780      3.560
    635.000     75.130     56.930     17.270     37.540    140.550     40.930
    640.000     78.630     67.180     21.680     61.270    143.800     83.840
    645.000     83.790     77.370     29.290     85.330    140.510    127.820
    650.000     91.020     87.010     40.110    116.260    128.080    175.520
    655.000    100.630     95.160     54.610    149.480     97.490    229.620
    660.000    112.550    100.220     72.820    179.840     37.900    281.280
    665.000    126.630     99.850     94.140    208.750    -55.670    310.120
    670.000    141.770     91.620    115.840    204.910   -173.210    287.180
    675.000    155.280     76.140    133.660    166.220   -245.890    206.270
    680.000    165.490     57.860    145.490    119.560   -259.320    125.370
    685.000    172.300     39.870    151.950     75.860   -242.260     59.910
    690.000    176.620     23.670    154.510     44.240   -211.870     11.670
    695.000    178.620      9.740    153.940     14.090   -178.980    -25.460
    700.000    178.950     -1.630    150.940     -7.680   -141.010    -58.210
    705.000    177.700    -10.170    145.800    -30.150    -99.490    -84.800
    710.000    174.820    -15.610    139.150    -47.350    -54.120   -103.660
    715.000    170.910    -17.680    131.170    -62.370     -1.900   -119.520
    720.000    165.890    -15.830    122.450    -74.710     53.800   -123.990
    725.000    160.110     -9.750    113.520    -85.400    119.270   -124.260
    730.000    154.070      1.480    105.240    -83.160    195.100   -103.630
    735.000    148.780     18.230     99.550    -60.350    274.350    -50.730
    740.000    146.400     39.960     99.140     -1.810    317.700     42.990
    745.000    148.830     61.550    105.680     67.460    274.290    135.340
    750.000    155.400     78.250    117.260    112.270    192.660    180.020
    755.000    164.450     89.050    130.730    135.370    108.490    192.790
    760.000    174.390     94.230    144.300    141.750     36.830    186.160
    765.000    184.520     94.740    157.050    137.510    -22.460    169.990
    770.000    194.160     91.000    168.340    131.820    -78.580    144.640
    775.000    203.000     83.670    177.590    117.560   -124.560    113.740
    780.000    210.650     73.210    184.360     96.540   -166.380     78.060
