#         t          x          y          z         vx         vy         vz
      0.000   -476.220    491.440   -412.400     44.420    101.780    142.230
      0.100   -471.778    501.618   -398.177     44.420    101.780    142.230
      0.200   -467.336    511.796   -383.954     44.420    101.780    142.230
      0.300   -462.894    521.974   -369.731     44.420    101.780    142.230
      0.400   -458.452    532.152   -355.508     44.420    101.780    142.230
      0.500   -454.010    542.330   -341.285     44.420    101.780    142.230
      0.600   -449.568    552.508   -327.062     44.420    101.780    142.230
      0.700   -445.126    562.686   -312.839     44.420    101.780    142.230
      0.800   -440.684    572.864   -298.616     44.420    101.780    142.230
      0.900   -436.242    583.042   -284.393     44.420    101.780    142.230
      1.000   -431.800    593.220   -270.170     44.420    101.780    142.230
      1.100   -427.358    603.398   -255.947     44.420    101.780    142.230
      1.200   -422.916    613.576   -241.724     44.420    101.780    142.230
      1.300   -418.474    623.754   -227.501     44.420    101.780    142.230
      1.400   -414.032    633.932   -213.278     44.420    101.780    142.230
      1.500   -409.590    644.110   -199.055     44.420    101.780    142.230
      1.600   -405.148    654.288   -184.832     44.420    101.780    142.230
      1.700   -400.706    664.466   -170.609     44.420    101.780    142.230
      1.800   -396.264    674.644   -156.386     44.420    101.780    142.230
      1.900   -391.822    684.822   -142.163     44.420    101.780    142.230
      2.000   -387.380    695.000   -127.940     44.420    101.780    142.230
      2.100   -382.938    705.178   -113.717     44.420    101.780    142.230
      2.200   -378.496    715.356    -99.494     44.420    101.780    142.230
      2.300   -374.054    725.534    -85.271     44.420    101.780    142.230
      2.400   -369.612    735.712    -71.048     44.420    101.780    142.230
      2.500   -365.170    745.890    -56.825     44.420    101.780    142.230
      2.600   -360.728    756.068    -42.602     44.420    101.780    142.230
      2.700   -356.286    766.246    -28.379     44.420    101.780    142.230
      2.800   -351.844    776.424    -14.156     44.420    101.780    142.230
      2.900   -347.402    786.602      0.067     44.420    101.780    142.230
      3.000   -342.960    796.780     14.290     44.420    101.780    142.230
      3.100   -338.518    806.958     28.513     44.420    101.780    142.230
      3.200   -334.076    817.136     42.736     44.420    101.780    142.230
      3.300   -329.634    827.314     56.959     44.420    101.780    142.230
      3.400   -325.192    837.492     71.182     44.420    101.780    142.230
      3.500   -320.750    847.670     85.405     44.420    101.780    142.230
      3.600   -316.308    857.848     99.628     44.420    101.780    142.230
      3.700   -311.866    868.026    113.851     44.420    101.780    142.230
      3.800   -307.424    878.204    128.074     44.420    101.780    142.230
      3.900   -302.982    888.382    142.297     44.420    101.780    142.230
      4.000   -298.540    898.560    156.520     44.420    101.780    142.230
      4.100   -294.098    908.738    170.743     44.420    101.780    142.230
      4.200   -289.656    918.916    184.966     44.420    101.780    142.230
      4.300   -285.214    929.094    199.189     44.420    101.780    142.230
      4.400   -280.772    939.272    213.412     44.420    101.780    142.230
      4.500   -276.330    949.450    227.635     44.420    101.780    142.230
      4.600   -271.888    959.628    241.858     44.420    101.780    142.230
      4.700   -267.446    969.806    256.081     44.420    101.780    142.230
      4.800   -263.004    979.984    270.304     44.420    101.780    142.230
      4.900   -258.562    990.162    284.527     44.420    101.780    142.230
      5.000   -254.120   1000.340    298.750     44.420    101.780    142.230
      5.100   -249.678   1010.518    312.973     44.420    101.780    142.230
      5.200   -245.236   1020.696    327.196     44.420    101.780    142.230
      5.300   -240.794   1030.874    341.419     44.420    101.780    142.230
      5.400   -236.352   1041.052    355.642     44.420    101.780    142.230
      5.500   -231.910   1051.230    369.865     44.420    101.780    142.230
      5.600   -227.468   1061.408    384.088     44.420    101.780    142.230
      5.700   -223.026   1071.586    398.311     44.420    101.780    142.230
      5.800   -218.584   1081.764    412.534     44.420    101.780    142.230
      5.900   -214.142   1091.942    426.757     44.420    101.780    142.230
      6.000   -209.700   1102.120    440.980     44.420    101.780    142.230
      6.100   -205.258   1112.298    455.203     44.420    101.780    142.230
      6.200   -200.816   1122.476    469.426     44.420    101.780    142.230
      6.300   -196.374   1132.654    483.649     44.420    101.780    142.230
      6.400   -191.932   1142.832    497.872     44.420    101.780    142.230
      6.500   -187.490   1153.010    512.095     44.420    101.780    142.230
      6.600   -183.048   1163.188    526.318     44.420    101.780    142.230
      6.700   -178.606   1173.366    540.541     44.420    101.780    142.230
      6.800   -174.164   1183.544    554.764     44.420    101.780    142.230
      6.900   -169.722   1193.722    568.987     44.420    101.780    142.230
      7.000   -165.280   1203.900    583.210     44.420    101.780    142.230
      7.100   -160.838   1214.078    597.433     44.420    101.780    142.230
      7.200   -156.396   1224.256    611.656     44.420    101.780    142.230
      7.300   -151.954   1234.434    625.879     44.420    101.780    142.230
      7.400   -147.512   1244.612    640.102     44.420    101.780    142.230
      7.500   -143.070   1254.790    654.325     44.420    101.780    142.230
      7.600   -138.628   1264.968    668.548     44.420    101.780    142.230
      7.700   -134.186   1275.146    682.771     44.420    101.780    142.230
      7.800   -129.744   1285.324    696.994     44.420    101.780    142.230
      7.900   -125.302   1295.502    711.217     44.420    101.780    142.230
      8.000   -120.860   1305.680    725.440     44.420    101.780    142.230
      8.100   -116.418   1315.858    739.663     44.420    101.780    142.230
      8.200   -111.976   1326.036    753.886     44.420    101.780    142.230
      8.300   -107.534   1336.214    768.109     44.420    101.780    142.230
      8.400   -103.092   1346.392    782.332     44.420    101.780    142.230
      8.500    -98.650   1356.570    796.555     44.420    101.780    142.230
      8.600    -94.208   1366.748    810.778     44.420    101.780    142.230
      8.700    -89.766   1376.926    825.001     44.420    101.780    142.230
      8.800    -85.324   1387.104    839.224     44.420    101.780    142.230
      8.900    -80.882   1397.282    853.447     44.420    101.780    142.230
      9.000    -76.440   1407.460    867.670     44.420    101.780    142.230
      9.100    -71.998   1417.638    881.893     44.420    101.780    142.230
      9.200    -67.556   1427.816    896.116     44.420    101.780    142.230
      9.300    -63.114   1437.994    910.339     44.420    101.780    142.230
      9.400    -58.672   1448.172    924.562     44.420    101.780    142.230
      9.500    -54.230   1458.350    938.785     44.420    101.780    142.230
      9.600    -49.788   1468.528    953.008     44.420    101.780    142.230
      9.700    -45.346   1478.706    967.231     44.420    101.780    142.230
      9.800    -40.904   1488.884    981.454     44.420    101.780    142.230
      9.900    -36.462   1499.062    995.677     44.420    101.780    142.230
     10.000    -32.020   1509.240   1009.900     44.420    101.780    142.230
     10.100    -27.578   1519.418   1024.123     44.420    101.780    142.230
