#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.054   -102.207   -118.002    -20.653    181.749    102.324
      0.200   -102.632    -83.628   -107.255    -10.914    189.818    112.630
      0.300   -103.106    -64.242    -95.405      1.449    197.899    124.365
      0.400   -102.165    -44.072    -82.300     17.361    205.508    137.729
      0.500    -99.393    -23.213    -67.774     38.072    211.670    152.794
      0.600    -94.236     -1.905    -51.674     65.076    214.499    169.197
      0.700    -86.008     19.353    -33.941     99.492    210.654    185.469
      0.800    -74.029     39.658    -14.766    140.082    195.441    198.027
      0.900    -58.014     57.724      5.206    180.219    165.882    201.414
      1.000    -38.538     72.355     24.873    209.308    126.732    191.927
      1.100    -16.924     83.078     43.188    222.957     87.745    174.369
      1.200      5.454     90.213     59.626    224.610     54.948    154.395
      1.300     27.652     94.427     74.112    219.349     29.336    135.326
      1.400     49.156     96.382     86.794    210.723      9.763    118.311
      1.500     69.727     96.609     97.883    200.702     -5.221    103.471
      1.600     89.276     95.508    107.585    190.289    -16.814     90.577
      1.700    107.789     93.372    116.080    179.969    -25.898     79.326
      1.800    125.286     90.422    123.519    169.966    -33.100     69.438
      1.900    141.803     86.824    130.024    160.368    -38.871     60.674
      2.000    157.381     82.703    135.700    151.201    -43.531     52.844
      2.100    172.064     78.161    140.632    142.455    -47.317     45.792
      2.200    185.892     73.275    144.891    134.107    -50.402     39.396
      2.300    198.904     68.109    148.539    126.125    -52.917     33.557
      2.400    211.134     62.715    151.626    118.480    -54.963     28.194
      2.500    222.615     57.136    154.198    111.139    -56.617     23.241
      2.600    233.376     51.408    156.293    104.073    -57.939     18.646
      2.700    243.442     45.563    157.943     97.257    -58.977     14.362
      2.800    252.838     39.625    159.179     90.665    -59.769     10.354
      2.900    261.585     33.620    160.026     84.275    -60.347      6.590
      3.000    269.702     27.565    160.508     78.068    -60.735      3.043
      3.100    277.207     21.481    160.644     72.025    -60.953     -0.309
      3.200    284.115     15.383    160.455     66.130    -61.018     -3.485
      3.300    290.440      9.285    159.955     60.368    -60.943     -6.503
      3.400    296.194      3.200    159.161     54.727    -60.742     -9.375
      3.500    301.390     -2.858    158.087     49.192    -60.422    -12.116
